work_unit,package_count,supplier_count,total_contract_value,hhi_supplier_package_count,hhi_supplier_value
DINAS PERPUSTAKAAN DAN KEARSIPAN - 2.23.2.24.0.00.01.0000,2,2,3697106004.0,0.5,0.617377
PANTI SOSIAL BINA NETRA DAN RUNGU WICARA CAHAYA BATIN - 1.06.0.00.0.00.01.0016,2,2,306393000.0,0.5,0.513508
PUSAT DATA DAN INFORMASI KEBENCANAAN - 1.05.0.00.0.00.03.0009,2,2,216113636.0,0.5,0.5
PUSAT DATA DAN INFORMASI PERENCANAAN PEMBANGUNAN - 5.01.0.00.0.00.01.0008,2,2,1337145600.0,0.5,0.503052
PUSAT KRISIS DAN KEGAWATDARURATAN KESEHATAN DAERAH - 1.02.0.00.0.00.01.0088,2,2,33203739825.0,0.5,0.927222
PUSAT PELATIHAN KERJA DAERAH - JAKBAR - 2.07.3.32.3.29.01.0009,2,2,4143752000.0,0.5,0.856845
PUSAT PELATIHAN KERJA DAERAH - JAKSEL - 2.07.3.32.3.29.01.0010,2,2,1080177000.0,0.5,0.537396
PUSAT PELATIHAN KERJA DAERAH - JAKTIM - 2.07.3.32.3.29.01.0011,2,2,2973796000.0,0.5,0.728189
PUSAT PELATIHAN KERJA DAERAH - JAKUT - 2.07.3.32.3.29.01.0008,2,2,3084992100.0,0.5,0.633438
PUSAT PELATIHAN KESEHATAN DAERAH - 1.02.0.00.0.00.01.0010,2,2,2944035640.0,0.5,0.854819
PUSAT PENGEMBANGAN PRODUKTIVITAS DAERAH - 2.07.3.32.3.29.01.0015,2,2,5928798922.0,0.5,0.892097
PUSKESMAS GAMBIR - 1.02.0.00.0.00.01.0097,2,2,2881519177.0,0.5,0.861215
RUMAH SAKIT UMUM DAERAH CENGKARENG - 1.02.0.00.0.00.01.0059,2,1,22419620525.0,1.0,1.0
RUMAH SAKIT UMUM DAERAH PASAR MINGGU - 1.02.0.00.0.00.01.0063,2,2,45585197290.0,0.5,0.92768
RUMAH SAKIT UMUM DAERAH TARAKAN - 1.02.0.00.0.00.01.0058,2,2,25620594425.0,0.5,0.907388
SEKRETARIAT MASJID RAYA KH HASYIM ASY'ARI - 1.06.0.00.0.00.01.0036,2,2,3845749588.0,0.5,0.627174
"SUKU DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.03.0.00.0.00.03.0006",2,2,2611473200.0,0.5,0.749306
"SUKU DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN KOTA ADMINISTRASI JAKARTA UTARA - 1.03.0.00.0.00.03.0002",2,2,7069475689.0,0.5,0.88605
SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KOTA - JAKBAR - 3.26.0.00.0.00.01.0003,2,2,1598762700.0,0.5,0.587762
SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KOTA - JAKPUS - 3.26.0.00.0.00.01.0001,2,2,1399005200.0,0.5,0.534448
SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KOTA - JAKSEL - 3.26.0.00.0.00.01.0005,2,2,2021689600.0,0.5,0.506416
SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KOTA - JAKUT - 3.26.0.00.0.00.01.0002,2,1,1646627500.0,1.0,1.0
SUKU DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA ADMINISTRASI JAKARTA BARAT - 1.04.0.00.0.00.01.0003,2,2,2795446200.0,0.5,0.50224
UNIT PENGELOLA ANGKUTAN PERAIRAN - 2.15.0.00.0.00.01.0018,2,2,892939500.0,0.5,0.692501
UNIT PENGELOLA RUMAH SUSUN II - 1.04.0.00.0.00.01.0010,2,2,618632000.0,0.5,0.500159
UNIT PENGELOLA RUMAH SUSUN VII - 1.04.0.00.0.00.01.0015,2,2,563553648.0,0.5,0.500015
UNIT PENGELOLA RUMAH SUSUN VIII - 1.04.0.00.0.00.01.0016,2,2,827893500.0,0.5,0.517604
UNIT PENGELOLA TAMAN MARGASATWA RAGUNAN - 3.28.0.00.0.00.01.0006,2,2,5463675300.0,0.5,0.914723
BADAN PENGELOLAAN KEUANGAN DAERAH - 5.02.0.00.0.00.01.0000,1,1,4348480500.0,1.0,1.0
BADAN PENGEMBANGAN SUMBER DAYA MANUSIA - 5.04.0.00.0.00.01.0000,1,1,544920000.0,1.0,1.0
BIRO KERJASAMA DAERAH - 4.01.0.00.0.00.01.0008,1,1,4256748713.0,1.0,1.0
BIRO ORGANISASI DAN REFORMASI BIROKRASI - 4.01.0.00.0.00.01.0003,1,1,794871000.0,1.0,1.0
DINAS KEBUDAYAAN - 2.22.0.00.0.00.01.0000,1,1,286380000.0,1.0,1.0
