package_id,year,supplier_name,work_unit,procurement_method,procurement_type,is_partial_snapshot_year,split,baseline_score,baseline_rank,top_feature_1,top_feature_1_contribution,top_feature_2,top_feature_2_contribution,top_feature_3,top_feature_3_contribution
59893127,2024,CV.SATRIAJI DAYA GUNA,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA BARAT - 1.02.0.00.0.00.01.0003,Tender,Pekerjaan Konstruksi,false,train,2.73202809956,641,procurement_type_code,5,work_unit_supplier_hhi_prior_package_count_year,3.3724537986,savings_to_hps_ratio,1.86206090454
10054145000,2025,PT. JAYA KIRANA SAKTI,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",Tender,Pekerjaan Konstruksi,false,train,2.72843648133,642,procurement_type_code,5,log_contract_value,2.61497702704,log_hps,2.42583124604
10010682000,2025,PT. TURBA KALIMAL KONSULTAN,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.71828141376,643,supplier_prior_contract_share_year,8.28406746865,supplier_prior_package_count_year,2,log_pagu,1.11224479417
60060127,2024,PT. PARAMITRA MULTI PRAKASA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",Tender,Pekerjaan Konstruksi,false,train,2.71645513786,644,procurement_type_code,5,log_contract_value,2.3030745447,log_hps,2.22852440843
10026311000,2025,PT. Citra Pamindo Riguna,SUKU DINAS SUMBER DAYA AIR KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.03.0.00.0.00.02.0006,Tender,Pekerjaan Konstruksi,false,train,2.71223657029,645,procurement_type_code,5,log_contract_value,2.52328089879,log_hps,2.40339693846
59740127,2024,Pt Nara Tunas Karya,PUSAT PENGEMBANGAN PRODUKTIVITAS DAERAH - 2.07.3.32.3.29.01.0015,Tender,Pekerjaan Konstruksi,false,train,2.71096346473,646,procurement_type_code,5,work_unit_supplier_hhi_prior_package_count_year,3.3724537986,savings_to_hps_ratio,1.86206090587
59704127,2024,PT.HERPIS PERTOMA MULIA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.70698474822,647,supplier_prior_contract_share_year,8.48500392472,supplier_prior_package_count_year,2,evaluation_duration_days,1.11695073864
60173127,2024,PT. MILYATI PUTRI GEMILANG,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,Tender,Pekerjaan Konstruksi,false,train,2.70687353532,648,hps_to_pagu_ratio,5.45151176342,procurement_type_code,5,tender_duration_days,1.08285591318
10122816000,2026,CV. PUTRA BAYAK RAYA,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.03.0000,Tender,Pekerjaan Konstruksi,true,evaluation,2.70415680731,649,procurement_type_code,5,bid_submission_duration_days,2.65797346721,evaluation_duration_days,2.11896616621
60121127,2024,PT. ARTHA BUANA PERKASA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",Tender,Pekerjaan Konstruksi,false,train,2.69867921279,650,procurement_type_code,5,bid_submission_duration_days,2.26820845124,log_contract_value,2.17179122554
